"","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"1440",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1441",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1442",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1443",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1444",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1445",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1446",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1447",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1448",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1449",0.16,0.4,0.44,5.1,1.8,1,0.7,14.8,24.2,4,111,0.71,7.6,8,27,16,4
"1450",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1451",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1452",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1453",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1454",0.16,0.4,0.44,5.1,1.8,1,0.7,14.8,24.2,4,111,0.71,7.6,8,27,16,4
"1455",0.16,0.4,0.44,5.1,1.8,1,0.7,14.8,24.2,4,111,0.71,7.6,8,27,16,4
"1456",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1457",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1458",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1459",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1460",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1461",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1462",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1463",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1464",0.24,0.4,0.36,5.3,1.4,0.8,0.7,12.8,21.4,3,84,0.62,7.1,6,20,8,4
"1465",0.32,0.32,0.36,5.3,1.6,0.6,0.8,13.3,20.4,4,98,0.58,5.9,5,26,7,3
"1466",0.16,0.44,0.4,5.9,2.8,0,0.6,18.8,27.3,7,118,1.04,7.4,6,25,10,2
