"lote_evaluado","lotes_cercanos","distancias","ord_cercania","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"9","571",0.193262431335816,4,0.3,0.4,0.3,6.4,2.3,0,0.5,17.8,24.5,5,45,0.57,6.1,3,20,6,2
"9","1090",0.198503961024645,5,0.24,0.4,0.36,6.8,2.8,0,0.6,20.1,25.7,4,36,0.64,5,3,26,5,1
"10","10",0,0,0.12,0.54,0.34,7,2,0,0.3,20,24.8,4,28,0.4,4.4,3,37,11,1
"10","289",2.87326030578684,1,0,0,0,7.4,2.2,0,0.4,38,45,2,69,0.6,6.4,87,29,13,3
"10","1468",3.08749449584053,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"10","1469",3.08749449584053,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"10","1470",3.08749449584053,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"10","1471",3.08749449584053,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"11","11",0,0,0.28,0.36,0.36,6.6,2.5,0,0.3,22,26.8,5,34,0.6,4.2,5,42,10,2
"11","1468",3.51287325705939,1,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"11","1469",3.51287325705939,2,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"11","1470",3.51287325705939,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"11","1471",3.51287325705939,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"11","1472",3.51287325705939,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"12","12",0,0,0.16,0.38,0.46,6.6,2.3,0,0.3,20,25.3,5,39,0.5,4.8,4,43,16,2
"12","144",0.31947755163392,1,0.22,0.34,0.44,5.5,2.3,0,0.5,20,27.1,5,86,0.8,6.3,20,27,8,2
"12","148",0.330683584658023,2,0.24,0.38,0.38,5.7,2.5,0,0.4,19,26.3,4,79,1.3,6,17,28,10,3
"12","29",0.334976880935159,3,0.22,0.42,0.36,6.5,2.8,0,0.3,23,29.4,8,56,0.5,5.9,14,13,8,1
"12","149",0.344772913312283,4,0.14,0.42,0.44,5.7,2.2,0,0.4,21,28.4,4,67,1.1,6.3,16,31,9,2
"12","857",0.346269590604404,5,0.18,0.5,0.32,5.7,2.4,0,0.5,17.7,25.3,6,80,0.73,6.9,7,7,7,2
"13","13",0,0,0.38,0.32,0.3,6.5,2.6,0,0.4,26,30.9,4,33,0.5,4.4,5,43,14,1
"13","1371",0.526106723024771,1,0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"13","1372",0.526106723024771,2,0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"13","1373",0.526106723024771,3,0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"13","1374",0.526106723024771,4,0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"13","1375",0.526106723024771,5,0.16,0.5,0.34,5.5,4.1,0,0.8,16.5,24.9,10,232,1.01,7.3,8,22,14,3
"14","14",0,0,0.22,0.38,0.4,6.9,2.9,0,0.5,23,29.1,5,26,0.5,5.6,5,41,16,1
"14","206",0.217289204413516,1,0.14,0.54,0.32,6,1.6,0,0.2,20,27.5,3,40,0.4,7.1,6,14,3,1
"14","1474",0.220456709426175,2,0.16,0.6,0.24,6.2,2.2,0,0.6,19.7,30.8,8,57,0.82,10.2,7,16,5,2
"14","1094",0.240886825016695,3,0.16,0.58,0.26,6.3,2.6,0,0.4,19.4,25,6,6,0.49,5.1,4,5,5,1
"14","389",0.248851319485881,4,0.18,0.52,0.3,6.2,2.5,0,0.4,23,28.8,2.7,55,0.5,5.3,9,12,9,1
"14","391",0.249604530708675,5,0.14,0.52,0.34,6.3,1.8,0,0.2,16,22.3,2,49,0.3,6,7,9,11,1
"15","15",0,0,0.32,0.34,0.34,6.4,2.5,0,0.3,26,31.2,5,50,0.7,4.5,5,46,14,1
"15","289",1.26053475907404,1,0,0,0,7.4,2.2,0,0.4,38,45,2,69,0.6,6.4,87,29,13,3
"15","144",1.35334467809196,2,0.22,0.34,0.44,5.5,2.3,0,0.5,20,27.1,5,86,0.8,6.3,20,27,8,2
"15","146",1.35894530274924,3,0.28,0.34,0.38,5.4,2.2,0.5,0.4,16,24,4,109,1.1,6.4,20,27,8,3
"15","394",1.36908331623775,4,0.16,0.6,0.26,5.3,3.5,0.3,0.4,16,22.5,3.7,96,0.4,5.8,15,9,26,1
"15","143",1.37241722254534,5,0.24,0.38,0.38,5.9,2.8,0,0.5,23,30.8,4,64,1,6.8,19,34,6,2
"16","16",0,0,0.22,0.3,0.48,6.8,2,0,0.4,22,27.1,3,26,41,4.6,3,44,12,2
"16","289",5.32826259522576,1,0,0,0,7.4,2.2,0,0.4,38,45,2,69,0.6,6.4,87,29,13,3
"16","307",5.70220914568449,2,0,0,0,5.3,6.8,0.3,0.9,23,34.8,20,296,1.1,10.4,34,20,71,4
"16","1468",5.74146272651844,3,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"16","1469",5.74146272651844,4,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"16","1470",5.74146272651844,5,0.22,0.5,0.28,4.9,4.5,0.8,0.9,20.1,28.7,13,383,0.95,6.7,14,19,20,4
"17","17",0,0,0.26,0.26,0.48,6.7,1.8,0,0.3,17,21,6,67,0.3,3.7,12,27,17,1
"17","206",0.114030731708703,1,0.14,0.54,0.32,6,1.6,0,0.2,20,27.5,3,40,0.4,7.1,6,14,3,1
"17","205",0.152837722474063,2,0.14,0.54,0.32,5.7,1.7,0,0.3,23,29.6,3,46,0.5,6.1,6,13,6,1
"17","852",0.155690850073105,3,0.14,0.58,0.28,5.7,2.2,0,0.8,19.1,28.3,6,59,0.58,8.6,8,17,4,2
